scheme,week,archetype,alive_rate,avg_rank,elim_rate,n
S1,1,balanced,0.8593364928909952,7.745450236966825,0.14066350710900474,63300
S1,1,relative_popular,0.9852698412698413,5.284253968253968,0.01473015873015873,31500
S1,1,relative_technical,0.9735873015873016,6.503460317460317,0.026412698412698412,31500
S1,2,balanced,0.8512022942863445,7.107333259798515,0.14879770571365541,54396
S1,2,relative_popular,0.9657816728959917,5.156092924345921,0.034218327104008246,31036
S1,2,relative_technical,0.9659580018260076,6.151852093387244,0.034041998173992435,30668
S1,3,balanced,0.8399205217917153,6.484800872532504,0.16007947820828475,46302
S1,3,relative_popular,0.9482885167144859,5.02494662040435,0.051711483285514115,29974
S1,3,relative_technical,0.9582095598163651,5.681980826357008,0.04179044018363489,29624
S1,4,balanced,0.8527642067369504,5.839033170480843,0.1472357932630496,38890
S1,4,relative_popular,0.9158457641429778,4.717852870813397,0.08415423585702224,28424
S1,4,relative_technical,0.9372225745085606,5.3589709716057214,0.06277742549143944,28386
S1,5,balanced,0.8552315504606683,5.232629914555903,0.14476844953933166,32887
S1,5,relative_popular,0.885237307955966,4.468829388281786,0.11476269204403404,24799
S1,5,relative_technical,0.921578657432911,5.016605020854647,0.078421342567089,25414
S1,6,balanced,0.8300860413851952,4.794789518594895,0.1699139586148048,28126
S1,6,relative_popular,0.8512731745091787,4.078838883068373,0.1487268254908213,21953
S1,6,relative_technical,0.9335638956492037,4.393450322360275,0.06643610435079629,23421
S1,7,balanced,0.8427206921660171,4.282563070201739,0.15727930783398295,23347
S1,7,relative_popular,0.8148544520547946,3.6232876712328768,0.1851455479452055,18688
S1,7,relative_technical,0.8871255431054196,3.9379373427852733,0.11287445689458038,21865
S1,8,balanced,0.838576874205845,3.8676238881829734,0.16142312579415502,19675
S1,8,relative_popular,0.7240609403729971,3.2478165221959547,0.2759390596270029,15228
S1,8,relative_technical,0.9009125122441615,3.3173557766664947,0.09908748775583853,19397
S1,9,balanced,0.8066549487847748,3.449906054912419,0.19334505121522516,16499
S1,9,relative_popular,0.7365280626515011,2.785381316427373,0.263471937348499,10726
S1,9,relative_technical,0.8765037037037037,2.8387555555555557,0.1234962962962963,16875
S1,10,balanced,0.8454605047525402,3.1292813831530646,0.15453949524745986,12204
S1,10,relative_popular,0.8182768403762879,2.416791100492758,0.1817231596237121,6697
S1,10,relative_technical,0.9281917289845932,2.3988647625912245,0.0718082710154068,11099
S1,11,balanced,0.8322964565864214,2.552745469299432,0.16770354341357857,3697
S1,11,relative_popular,1.0,2.0108979947689627,0.0,1147
S1,11,relative_technical,0.8945783132530121,2.2424698795180724,0.10542168674698796,2656
S2,1,balanced,0.8595418641390206,7.742353870458136,0.14045813586097947,63300
S2,1,relative_popular,0.9855873015873016,5.281365079365079,0.014412698412698413,31500
S2,1,relative_technical,0.9728571428571429,6.5125714285714285,0.027142857142857142,31500
S2,2,balanced,0.8504475362531934,7.106622985167895,0.14955246374680659,54409
S2,2,relative_popular,0.9665657411582813,5.153256458158861,0.03343425884171874,31046
S2,2,relative_technical,0.9665524555392396,6.1559063468755095,0.03344754446076032,30645
S2,3,balanced,0.8399896265560166,6.481392634854772,0.1600103734439834,46272
S2,3,relative_popular,0.9476806185017329,5.030600173287123,0.05231938149826713,30008
S2,3,relative_technical,0.9586090479405807,5.683144834571236,0.04139095205941931,29620
S2,4,balanced,0.852217762683956,5.841752855819697,0.14778223731604404,38868
S2,4,relative_popular,0.9171531050003516,4.722343343413742,0.08284689499964835,28438
S2,4,relative_technical,0.9366063252799888,5.351438684229063,0.06339367472001127,28394
S2,5,balanced,0.8553472518108223,5.228658165439162,0.14465274818917767,32858
S2,5,relative_popular,0.8853231326756593,4.478538353130662,0.11467686732434065,24835
S2,5,relative_technical,0.9213208958161136,5.013273900893455,0.07867910418388634,25407
S2,6,balanced,0.8307062800213485,4.792759295499022,0.16929371997865147,28105
S2,6,relative_popular,0.8497293855460044,4.082105334970665,0.15027061445399553,21987
S2,6,relative_technical,0.9342959671907041,4.3936367908407385,0.06570403280929597,23408
S2,7,balanced,0.8431061806656102,4.28175996916092,0.15689381933438987,23347
S2,7,relative_popular,0.8149119520419633,3.623882674088744,0.1850880479580367,18683
S2,7,relative_technical,0.8866483767718336,3.938214449016918,0.11335162322816644,21870
S2,8,balanced,0.8375838244259297,3.8671509855720383,0.16241617557407032,19684
S2,8,relative_popular,0.7272906403940886,3.248768472906404,0.2727093596059113,15225
S2,8,relative_technical,0.8993863132381001,3.3168222371203138,0.10061368676189986,19391
S2,9,balanced,0.8225874931764421,3.444698853642264,0.17741250682355794,16487
S2,9,relative_popular,0.797270955165692,2.78144435161979,0.20272904483430798,10773
S2,9,relative_technical,0.8223871733966746,2.8469566508313537,0.17761282660332542,16840
S2,10,balanced,0.8526273241713824,3.1313662085691187,0.14737267582861763,12370
S2,10,relative_popular,0.8637685172366053,2.4224698878582305,0.13623148276339472,7223
S2,10,relative_technical,0.8949745363697511,2.3798885365619293,0.10502546363024887,10407
S2,11,balanced,0.8120610317268103,2.5827076774037296,0.18793896827318962,4129
S2,11,relative_popular,1.0,1.9941369606003752,0.0,1066
S2,11,relative_technical,0.9462039045553146,2.1302603036876357,0.053796095444685464,2305
S3,1,balanced,0.8631437598736177,7.739186413902054,0.1368562401263823,63300
S3,1,relative_popular,0.9867619047619047,5.285190476190476,0.013238095238095238,31500
S3,1,relative_technical,0.9644444444444444,6.5151111111111115,0.035555555555555556,31500
S3,2,balanced,0.8493145670516317,7.139571169720153,0.1506854329483683,54637
S3,2,relative_popular,0.9732007849950134,5.1371489238490495,0.026799215004986648,31083
S3,2,relative_technical,0.9626728110599079,6.107216919025674,0.03732718894009217,30380
S3,3,balanced,0.8349064735798638,6.507860313766055,0.1650935264201362,46404
S3,3,relative_popular,0.9646280991735537,5.0229917355371905,0.035371900826446284,30250
S3,3,relative_technical,0.9497709088422348,5.650815496136223,0.050229091157765166,29246
S3,4,balanced,0.846552925689802,5.8651369279611805,0.15344707431019797,38743
S3,4,relative_popular,0.9384852638793695,4.708464701850582,0.06151473612063057,29180
S3,4,relative_technical,0.9222378226590344,5.352413867588292,0.07776217734096555,27777
S3,5,balanced,0.8381559588033349,5.2693569151544875,0.16184404119666504,32624
S3,5,relative_popular,0.9096215547566585,4.499362170938189,0.09037844524334145,25869
S3,5,relative_technical,0.9194538139553785,4.961941723899703,0.08054618604462145,24607
S3,6,balanced,0.836490637799883,4.841948873610298,0.16350936220011703,27344
S3,6,relative_popular,0.8723811142747865,4.090051421529047,0.12761888572521354,23531
S3,6,relative_technical,0.9060331491712708,4.36060773480663,0.09396685082872928,22625
S3,7,balanced,0.834477331351375,4.3315043938267825,0.16552266864862503,22873
S3,7,relative_popular,0.8573168355416991,3.6902888737334374,0.14268316445830087,20528
S3,7,relative_technical,0.8592614273867017,3.852444021659593,0.1407385726132982,20499
S3,8,balanced,0.8246974380468381,3.89910672185257,0.17530256195316185,19087
S3,8,relative_popular,0.7971475652025684,3.291877379396557,0.20285243479743167,17599
S3,8,relative_technical,0.8646531168388781,3.2669467469058704,0.13534688316112184,17614
S3,9,balanced,0.836997966446365,3.459360701576004,0.163002033553635,15736
S3,9,relative_popular,0.7758812615955473,2.826586270871985,0.22411873840445268,13475
S3,9,relative_technical,0.8310833501242528,2.8326449056350325,0.1689166498757472,14889
S3,10,balanced,0.8557030068872837,3.130606416932639,0.14429699311271627,11906
S3,10,relative_popular,0.8742341925788926,2.3959657843023927,0.12576580742110738,8651
S3,10,relative_technical,0.8841469871862756,2.4356136820925554,0.11585301281372445,9443
S3,11,balanced,0.81225,2.5863125,0.18775,4000
S3,11,relative_popular,1.0,2.005716798592788,0.0,1137
S3,11,relative_technical,0.9369445619974609,2.14737621667372,0.06305543800253914,2363
