,season,celebrity_name,week,eligible,season_max_week,eligible_next
0,1,Evander Holyfield,1,True,6,True
1,1,Evander Holyfield,2,True,6,True
2,1,Evander Holyfield,3,True,6,False
3,1,Evander Holyfield,4,False,6,False
4,1,Evander Holyfield,5,False,6,False
5,1,Evander Holyfield,6,False,6,
6,1,Joey McIntyre,1,True,6,True
7,1,Joey McIntyre,2,True,6,True
8,1,Joey McIntyre,3,True,6,True
9,1,Joey McIntyre,4,True,6,True
10,1,Joey McIntyre,5,True,6,True
11,1,Joey McIntyre,6,True,6,
12,1,John O'Hurley,1,True,6,True
13,1,John O'Hurley,2,True,6,True
14,1,John O'Hurley,3,True,6,True
15,1,John O'Hurley,4,True,6,True
16,1,John O'Hurley,5,True,6,True
17,1,John O'Hurley,6,True,6,
18,1,Kelly Monaco,1,True,6,True
19,1,Kelly Monaco,2,True,6,True
20,1,Kelly Monaco,3,True,6,True
21,1,Kelly Monaco,4,True,6,True
22,1,Kelly Monaco,5,True,6,True
23,1,Kelly Monaco,6,True,6,
24,1,Rachel Hunter,1,True,6,True
25,1,Rachel Hunter,2,True,6,True
26,1,Rachel Hunter,3,True,6,True
27,1,Rachel Hunter,4,True,6,False
28,1,Rachel Hunter,5,False,6,False
29,1,Rachel Hunter,6,False,6,
30,1,Trista Sutter,1,True,6,True
31,1,Trista Sutter,2,True,6,False
32,1,Trista Sutter,3,False,6,False
33,1,Trista Sutter,4,False,6,False
34,1,Trista Sutter,5,False,6,False
35,1,Trista Sutter,6,False,6,
36,2,Drew Lachey,1,True,8,True
37,2,Drew Lachey,2,True,8,True
38,2,Drew Lachey,3,True,8,True
39,2,Drew Lachey,4,True,8,True
40,2,Drew Lachey,5,True,8,True
41,2,Drew Lachey,6,True,8,True
42,2,Drew Lachey,7,True,8,True
43,2,Drew Lachey,8,True,8,
44,2,George Hamilton,1,True,8,True
45,2,George Hamilton,2,True,8,True
46,2,George Hamilton,3,True,8,True
47,2,George Hamilton,4,True,8,True
48,2,George Hamilton,5,True,8,True
49,2,George Hamilton,6,True,8,False
50,2,George Hamilton,7,False,8,False
51,2,George Hamilton,8,False,8,
52,2,Giselle Fernandez,1,True,8,True
53,2,Giselle Fernandez,2,True,8,True
54,2,Giselle Fernandez,3,True,8,False
55,2,Giselle Fernandez,4,False,8,False
56,2,Giselle Fernandez,5,False,8,False
57,2,Giselle Fernandez,6,False,8,False
58,2,Giselle Fernandez,7,False,8,False
59,2,Giselle Fernandez,8,False,8,
60,2,Jerry Rice,1,True,8,True
61,2,Jerry Rice,2,True,8,True
62,2,Jerry Rice,3,True,8,True
63,2,Jerry Rice,4,True,8,True
64,2,Jerry Rice,5,True,8,True
65,2,Jerry Rice,6,True,8,True
66,2,Jerry Rice,7,True,8,True
67,2,Jerry Rice,8,True,8,
68,2,Kenny Mayne,1,True,8,False
69,2,Kenny Mayne,2,False,8,False
70,2,Kenny Mayne,3,False,8,False
71,2,Kenny Mayne,4,False,8,False
72,2,Kenny Mayne,5,False,8,False
73,2,Kenny Mayne,6,False,8,False
74,2,Kenny Mayne,7,False,8,False
75,2,Kenny Mayne,8,False,8,
76,2,Lisa Rinna,1,True,8,True
77,2,Lisa Rinna,2,True,8,True
78,2,Lisa Rinna,3,True,8,True
79,2,Lisa Rinna,4,True,8,True
80,2,Lisa Rinna,5,True,8,True
81,2,Lisa Rinna,6,True,8,True
82,2,Lisa Rinna,7,True,8,False
83,2,Lisa Rinna,8,False,8,
84,2,Master P,1,True,8,True
85,2,Master P,2,True,8,True
86,2,Master P,3,True,8,True
87,2,Master P,4,True,8,False
88,2,Master P,5,False,8,False
89,2,Master P,6,False,8,False
90,2,Master P,7,False,8,False
91,2,Master P,8,False,8,
92,2,Stacy Keibler,1,True,8,True
93,2,Stacy Keibler,2,True,8,True
94,2,Stacy Keibler,3,True,8,True
95,2,Stacy Keibler,4,True,8,True
96,2,Stacy Keibler,5,True,8,True
97,2,Stacy Keibler,6,True,8,True
98,2,Stacy Keibler,7,True,8,True
99,2,Stacy Keibler,8,True,8,
100,2,Tatum O'Neal,1,True,8,True
101,2,Tatum O'Neal,2,True,8,False
102,2,Tatum O'Neal,3,False,8,False
103,2,Tatum O'Neal,4,False,8,False
104,2,Tatum O'Neal,5,False,8,False
105,2,Tatum O'Neal,6,False,8,False
106,2,Tatum O'Neal,7,False,8,False
107,2,Tatum O'Neal,8,False,8,
108,2,Tia Carrere,1,True,8,True
109,2,Tia Carrere,2,True,8,True
110,2,Tia Carrere,3,True,8,True
111,2,Tia Carrere,4,True,8,True
112,2,Tia Carrere,5,True,8,False
113,2,Tia Carrere,6,False,8,False
114,2,Tia Carrere,7,False,8,False
115,2,Tia Carrere,8,False,8,
116,3,Emmitt Smith,1,True,10,True
117,3,Emmitt Smith,2,True,10,True
118,3,Emmitt Smith,3,True,10,True
119,3,Emmitt Smith,4,True,10,True
120,3,Emmitt Smith,5,True,10,True
121,3,Emmitt Smith,6,True,10,True
122,3,Emmitt Smith,7,True,10,True
123,3,Emmitt Smith,8,True,10,True
124,3,Emmitt Smith,9,True,10,True
125,3,Emmitt Smith,10,True,10,
126,3,Harry Hamlin,1,True,10,True
127,3,Harry Hamlin,2,True,10,True
128,3,Harry Hamlin,3,True,10,False
129,3,Harry Hamlin,4,False,10,False
130,3,Harry Hamlin,5,False,10,False
131,3,Harry Hamlin,6,False,10,False
132,3,Harry Hamlin,7,False,10,False
133,3,Harry Hamlin,8,False,10,False
134,3,Harry Hamlin,9,False,10,False
135,3,Harry Hamlin,10,False,10,
136,3,Jerry Springer,1,True,10,True
137,3,Jerry Springer,2,True,10,True
138,3,Jerry Springer,3,True,10,True
139,3,Jerry Springer,4,True,10,True
140,3,Jerry Springer,5,True,10,True
141,3,Jerry Springer,6,True,10,True
142,3,Jerry Springer,7,True,10,False
143,3,Jerry Springer,8,False,10,False
144,3,Jerry Springer,9,False,10,False
145,3,Jerry Springer,10,False,10,
146,3,Joey Lawrence,1,True,10,True
147,3,Joey Lawrence,2,True,10,True
148,3,Joey Lawrence,3,True,10,True
149,3,Joey Lawrence,4,True,10,True
150,3,Joey Lawrence,5,True,10,True
151,3,Joey Lawrence,6,True,10,True
152,3,Joey Lawrence,7,True,10,True
153,3,Joey Lawrence,8,True,10,True
154,3,Joey Lawrence,9,True,10,True
155,3,Joey Lawrence,10,True,10,
156,3,Mario Lopez,1,True,10,True
157,3,Mario Lopez,2,True,10,True
158,3,Mario Lopez,3,True,10,True
159,3,Mario Lopez,4,True,10,True
160,3,Mario Lopez,5,True,10,True
161,3,Mario Lopez,6,True,10,True
162,3,Mario Lopez,7,True,10,True
163,3,Mario Lopez,8,True,10,True
164,3,Mario Lopez,9,True,10,True
165,3,Mario Lopez,10,True,10,
166,3,Monique Coleman,1,True,10,True
167,3,Monique Coleman,2,True,10,True
168,3,Monique Coleman,3,True,10,True
169,3,Monique Coleman,4,True,10,True
170,3,Monique Coleman,5,True,10,True
171,3,Monique Coleman,6,True,10,True
172,3,Monique Coleman,7,True,10,True
173,3,Monique Coleman,8,True,10,False
174,3,Monique Coleman,9,False,10,False
175,3,Monique Coleman,10,False,10,
176,3,Sara Evans,1,True,10,True
177,3,Sara Evans,2,True,10,True
178,3,Sara Evans,3,True,10,True
179,3,Sara Evans,4,True,10,True
180,3,Sara Evans,5,True,10,False
181,3,Sara Evans,6,False,10,False
182,3,Sara Evans,7,False,10,False
183,3,Sara Evans,8,False,10,False
184,3,Sara Evans,9,False,10,False
185,3,Sara Evans,10,False,10,
